Dataset,Cond_Size,Ridge,k,Learn_A,Norm,Epoch,Acc,Std.
ogbn-arxiv,454,5e-1,4,0,0,158,64.53,0.22
ogbn-arxiv,454,5e-1,4,0,1,111,64.53,0.17
ogbn-arxiv,454,5e-1,4,1,0,200,45.89,7.46
ogbn-arxiv,454,5e-1,4,1,1,177,39.09,0.32
ogbn-arxiv,454,1e0,1,0,0,69,64.14,0.17
ogbn-arxiv,454,1e0,1,0,1,34,63.96,0.10
ogbn-arxiv,454,1e0,1,1,0,191,63.22,0.16
ogbn-arxiv,454,1e0,1,1,1,69,63.61,0.31
ogbn-arxiv,454,1e0,2,0,0,164,65.54,0.10
ogbn-arxiv,454,1e0,2,0,1,59,65.36,0.11
ogbn-arxiv,454,1e0,2,1,0,150,63.32,0.19
ogbn-arxiv,454,1e0,2,1,1,186,65.18,0.07
ogbn-arxiv,454,1e0,3,0,0,114,64.99,0.17
ogbn-arxiv,454,1e0,3,0,1,111,64.94,0.06
ogbn-arxiv,454,1e0,3,1,0,199,63.42,0.28
ogbn-arxiv,454,1e0,3,1,1,186,58.09,0.44
ogbn-arxiv,454,1e0,4,0,0,158,64.51,0.25
ogbn-arxiv,454,1e0,4,0,1,106,64.42,0.30
ogbn-arxiv,454,1e0,4,1,0,194,40.29,5.52
ogbn-arxiv,454,1e0,4,1,1,149,29.26,6.34
ogbn-arxiv,454,5,1,0,0,46,64.12,0.26
ogbn-arxiv,454,5,1,0,1,90,64.02,0.04
ogbn-arxiv,454,5,1,1,0,69,63.53,0.08
ogbn-arxiv,454,5,1,1,1,69,62.90,0.30
ogbn-arxiv,454,5,2,0,0,57,65.54,0.11
ogbn-arxiv,454,5,2,0,1,115,65.38,0.09
ogbn-arxiv,454,5,2,1,0,193,65.18,0.09
ogbn-arxiv,454,5,2,1,1,199,64.72,0.47
ogbn-arxiv,454,5,3,0,0,114,65.08,0.07
ogbn-arxiv,454,5,3,0,1,118,64.97,0.18
ogbn-arxiv,454,5,3,1,0,197,59.02,0.40
ogbn-arxiv,454,5,3,1,1,200,52.14,2.90
ogbn-arxiv,454,5,4,0,0,150,64.54,0.24
ogbn-arxiv,454,5,4,0,1,179,64.45,0.10
ogbn-arxiv,454,5,4,1,0,197,37.75,0.28
ogbn-arxiv,454,5,4,1,1,200,25.05,6.79
ogbn-arxiv,454,1e1,1,0,0,76,64.08,0.08
ogbn-arxiv,454,1e1,1,0,1,116,64.04,0.01
ogbn-arxiv,454,1e1,1,1,0,69,63.71,0.01
ogbn-arxiv,454,1e1,1,1,1,141,63.16,0.15
ogbn-arxiv,454,1e1,2,0,0,69,65.53,0.31
ogbn-arxiv,454,1e1,2,0,1,131,65.39,0.03
ogbn-arxiv,454,1e1,2,1,0,199,65.09,0.04
ogbn-arxiv,454,1e1,2,1,1,195,64.82,0.21
ogbn-arxiv,454,1e1,3,0,0,154,65.10,0.08
ogbn-arxiv,454,1e1,3,0,1,190,64.99,0.07
ogbn-arxiv,454,1e1,3,1,0,200,54.43,1.63
ogbn-arxiv,454,1e1,3,1,1,199,54.55,1.68
ogbn-arxiv,454,1e1,4,0,0,146,64.49,0.09
ogbn-arxiv,454,1e1,4,0,1,185,64.34,0.04
ogbn-arxiv,454,1e1,4,1,0,196,34.16,1.22
ogbn-arxiv,454,1e1,4,1,1,125,32.81,5.58
ogbn-arxiv,909,1e-3,1,0,0,89,64.10,0.10
ogbn-arxiv,909,1e-3,1,0,1,29,62.12,0.51
ogbn-arxiv,909,1e-3,1,1,0,162,63.35,0.20
ogbn-arxiv,909,1e-3,1,1,1,179,63.26,0.32
ogbn-arxiv,909,1e-3,2,0,0,170,65.52,0.15
ogbn-arxiv,909,1e-3,2,0,1,35,63.56,0.90
ogbn-arxiv,909,1e-3,2,1,0,163,63.68,0.16
ogbn-arxiv,909,1e-3,2,1,1,194,64.21,0.08
ogbn-arxiv,909,1e-3,3,0,0,70,65.07,0.13
ogbn-arxiv,909,1e-3,3,0,1,72,63.00,1.06
ogbn-arxiv,909,1e-3,3,1,0,183,64.15,0.19
ogbn-arxiv,909,1e-3,3,1,1,199,62.86,0.32
ogbn-arxiv,909,1e-3,4,0,0,133,64.61,0.13
ogbn-arxiv,909,1e-3,4,0,1,51,62.28,0.82
ogbn-arxiv,909,1e-3,4,1,0,194,61.79,0.16
ogbn-arxiv,909,1e-3,4,1,1,200,59.52,0.49
ogbn-arxiv,909,1e-2,1,0,0,39,64.11,0.17
ogbn-arxiv,909,1e-2,1,0,1,43,63.67,0.12
ogbn-arxiv,909,1e-2,1,1,0,16,63.68,0.13
ogbn-arxiv,909,1e-2,1,1,1,39,62.85,0.32
ogbn-arxiv,909,1e-2,2,0,0,82,65.42,0.03
ogbn-arxiv,909,1e-2,2,0,1,64,65.14,0.33
ogbn-arxiv,909,1e-2,2,1,0,194,64.21,0.27
ogbn-arxiv,909,1e-2,2,1,1,194,63.83,0.17
ogbn-arxiv,909,1e-2,3,0,0,75,65.02,0.12
ogbn-arxiv,909,1e-2,3,0,1,144,64.70,0.21
ogbn-arxiv,909,1e-2,3,1,0,198,64.42,0.22
ogbn-arxiv,909,1e-2,3,1,1,192,61.11,0.15
ogbn-arxiv,909,1e-2,4,0,0,141,64.64,0.04
ogbn-arxiv,909,1e-2,4,0,1,141,64.31,0.22
ogbn-arxiv,909,1e-2,4,1,0,193,48.19,2.80
ogbn-arxiv,909,1e-2,4,1,1,195,33.45,8.39
ogbn-arxiv,909,1e-1,1,0,0,72,64.08,0.14
ogbn-arxiv,909,1e-1,1,0,1,31,63.95,0.16
