Dataset,Cond_ratio,Ridge,k,Learn_A,Epoch,Acc,Std.,Time
Computers,0.25,1e1,3,0,135,72.10,0.90,1.753
Computers,0.25,1e1,3,1,138,21.06,2.54,1.011
Computers,0.25,1e1,4,0,139,69.36,9.66,1.643
Computers,0.25,1e1,4,1,139,20.86,2.26,1.220
Computers,0.25,1e1,5,0,158,65.20,5.54,1.089
Computers,0.25,1e1,5,1,153,20.70,2.48,1.219
Computers,0.5,1e-3,1,0,70,85.72,0.28,0.988
Computers,0.5,1e-3,1,1,168,85.26,0.91,1.386
Computers,0.5,1e-3,2,0,185,85.74,0.59,2.284
Computers,0.5,1e-3,2,1,169,82.70,0.76,1.486
Computers,0.5,1e-3,3,0,174,85.46,0.47,2.064
Computers,0.5,1e-3,3,1,199,74.68,5.06,1.554
Computers,0.5,1e-3,4,0,128,85.14,0.87,2.123
Computers,0.5,1e-3,4,1,194,51.00,8.20,1.607
Computers,0.5,1e-3,5,0,163,84.72,0.39,1.211
Computers,0.5,1e-3,5,1,198,25.86,4.44,1.667
Computers,0.5,1e-2,1,0,44,86.18,0.40,0.955
Computers,0.5,1e-2,1,1,180,85.44,0.44,1.521
Computers,0.5,1e-2,2,0,146,86.40,0.34,1.856
Computers,0.5,1e-2,2,1,199,81.94,1.44,1.763
Computers,0.5,1e-2,3,0,176,85.76,0.46,2.338
Computers,0.5,1e-2,3,1,200,65.08,5.76,1.757
Computers,0.5,1e-2,4,0,129,85.06,0.44,1.705
Computers,0.5,1e-2,4,1,175,33.82,8.74,1.515
Computers,0.5,1e-2,5,0,158,84.50,0.29,1.142
Computers,0.5,1e-2,5,1,190,16.72,0.22,1.716
Computers,0.5,1e-1,1,0,86,86.12,0.40,1.262
Computers,0.5,1e-1,1,1,170,85.02,0.59,1.410
Computers,0.5,1e-1,2,0,183,86.12,0.38,2.446
Computers,0.5,1e-1,2,1,196,71.18,6.84,1.646
Computers,0.5,1e-1,3,0,158,85.74,0.21,1.897
Computers,0.5,1e-1,3,1,169,46.18,13.00,1.530
Computers,0.5,1e-1,4,0,149,84.72,0.29,1.670
Computers,0.5,1e-1,4,1,181,23.14,3.48,1.556
Computers,0.5,1e-1,5,0,189,84.12,0.62,1.340
Computers,0.5,1e-1,5,1,199,15.86,2.00,1.682
Computers,0.5,5e-1,1,0,87,85.52,0.75,1.358
Computers,0.5,5e-1,1,1,152,83.24,0.51,1.200
Computers,0.5,5e-1,2,0,139,85.82,0.23,1.902
Computers,0.5,5e-1,2,1,188,66.06,2.51,1.453
Computers,0.5,5e-1,3,0,131,85.28,0.22,1.920
Computers,0.5,5e-1,3,1,194,31.40,12.23,1.712
Computers,0.5,5e-1,4,0,142,84.52,0.29,1.778
Computers,0.5,5e-1,4,1,198,20.60,1.51,1.743
Computers,0.5,5e-1,5,0,196,84.08,0.44,1.464
Computers,0.5,5e-1,5,1,189,19.78,0.16,1.637
Computers,0.5,1e0,1,0,111,85.46,0.44,1.559
Computers,0.5,1e0,1,1,167,81.00,1.66,1.464
Computers,0.5,1e0,2,0,116,85.76,0.52,1.701
Computers,0.5,1e0,2,1,192,67.96,5.16,1.535
Computers,0.5,1e0,3,0,128,85.46,0.35,1.542
Computers,0.5,1e0,3,1,161,23.04,5.39,1.337
Computers,0.5,1e0,4,0,143,84.50,0.33,1.816
Computers,0.5,1e0,4,1,156,19.92,1.10,1.403
Computers,0.5,1e0,5,0,191,84.08,0.36,1.392
Computers,0.5,1e0,5,1,177,19.84,0.13,1.574
Computers,0.5,5,1,0,131,85.12,0.54,1.643
Computers,0.5,5,1,1,190,76.92,1.20,1.554
Computers,0.5,5,2,0,197,85.46,0.47,2.334
Computers,0.5,5,2,1,196,31.04,2.66,1.624
Computers,0.5,5,3,0,150,84.54,0.80,2.155
Computers,0.5,5,3,1,189,19.96,0.09,1.527
Computers,0.5,5,4,0,154,84.18,0.52,1.773
Computers,0.5,5,4,1,195,19.94,0.05,1.532
Computers,0.5,5,5,0,188,83.70,0.62,1.416
Computers,0.5,5,5,1,179,19.90,0.07,1.438
Computers,0.5,1e1,1,0,165,83.04,3.77,2.201
Computers,0.5,1e1,1,1,199,76.24,2.41,1.667
Computers,0.5,1e1,2,0,184,85.06,0.62,2.223
Computers,0.5,1e1,2,1,194,21.52,1.46,1.684
Computers,0.5,1e1,3,0,133,80.08,4.77,1.678
Computers,0.5,1e1,3,1,165,19.96,0.09,1.419
Computers,0.5,1e1,4,0,151,77.38,6.12,1.922
Computers,0.5,1e1,4,1,168,19.90,0.00,1.509
Computers,0.5,1e1,5,0,126,75.32,3.49,1.015
Computers,0.5,1e1,5,1,193,19.90,0.00,1.761
Computers,1,1e-3,1,0,68,84.64,0.47,1.313
Computers,1,1e-3,1,1,188,86.00,0.51,4.714
Computers,1,1e-3,2,0,98,86.04,0.27,1.575
Computers,1,1e-3,2,1,160,84.64,1.14,3.114
Computers,1,1e-3,3,0,84,85.66,0.42,1.653
Computers,1,1e-3,3,1,189,79.08,0.93,4.149
Computers,1,1e-3,4,0,128,85.50,0.74,2.109
Computers,1,1e-3,4,1,191,44.14,5.16,4.587
Computers,1,1e-3,5,0,136,84.94,0.44,1.283
Computers,1,1e-3,5,1,198,16.48,0.54,4.516
Computers,1,1e-2,1,0,29,86.22,0.53,0.856
Computers,1,1e-2,1,1,186,85.54,0.48,3.617
Computers,1,1e-2,2,0,123,86.46,0.42,2.046
Computers,1,1e-2,2,1,169,83.50,0.43,3.266
Computers,1,1e-2,3,0,88,85.68,0.24,1.571
Computers,1,1e-2,3,1,166,66.92,2.01,3.138
Computers,1,1e-2,4,0,102,85.16,0.26,1.640
Computers,1,1e-2,4,1,142,17.66,0.27,2.760
Computers,1,1e-2,5,0,109,84.74,0.15,1.145
Computers,1,1e-2,5,1,182,16.88,0.28,3.125
Computers,1,1e-1,1,0,57,85.88,0.29,1.097
Computers,1,1e-1,1,1,179,85.52,0.28,3.155
Computers,1,1e-1,2,0,158,86.18,0.49,2.519
Computers,1,1e-1,2,1,168,72.74,3.23,3.686
Computers,1,1e-1,3,0,142,85.46,0.40,2.020
Computers,1,1e-1,3,1,179,43.10,5.10,3.705
Computers,1,1e-1,4,0,114,84.82,0.19,1.793
Computers,1,1e-1,4,1,185,15.48,0.20,4.002
Computers,1,1e-1,5,0,187,84.22,0.36,1.658
Computers,1,1e-1,5,1,197,15.66,0.18,3.816
Computers,1,5e-1,1,0,99,85.54,0.39,1.569
Computers,1,5e-1,1,1,178,84.40,0.58,3.715
Computers,1,5e-1,2,0,184,86.06,0.46,2.626
Computers,1,5e-1,2,1,178,70.16,4.15,3.407
Computers,1,5e-1,3,0,141,85.52,0.44,1.952
Computers,1,5e-1,3,1,199,20.84,1.63,3.844
Computers,1,5e-1,4,0,197,84.86,0.51,3.080
Computers,1,5e-1,4,1,200,19.38,0.69,4.659
Computers,1,5e-1,5,0,172,84.16,0.59,1.694
Computers,1,5e-1,5,1,197,19.88,0.47,4.701
Computers,1,1e0,1,0,98,85.32,0.45,1.952
Computers,1,1e0,1,1,177,83.12,1.33,3.728
Computers,1,1e0,2,0,162,85.98,0.59,2.210
Computers,1,1e0,2,1,199,66.16,3.34,4.399
Computers,1,1e0,3,0,134,85.18,0.40,1.954
Computers,1,1e0,3,1,196,20.04,0.85,3.913
Computers,1,1e0,4,0,173,84.72,0.41,2.547
Computers,1,1e0,4,1,199,17.84,4.11,3.648
Computers,1,1e0,5,0,160,84.12,0.41,1.560
Computers,1,1e0,5,1,12,10.30,0.48,0.528
Computers,1,5,1,0,135,85.24,0.43,2.007
Computers,1,5,1,1,175,73.10,7.22,3.268
Computers,1,5,2,0,137,85.82,0.69,2.009
Computers,1,5,2,1,197,21.88,4.43,3.532
Computers,1,5,3,0,188,84.78,0.40,2.828
Computers,1,5,3,1,200,19.86,0.67,4.132
Computers,1,5,4,0,166,84.24,0.76,2.189
Computers,1,5,4,1,200,11.98,3.03,3.922
Computers,1,5,5,0,198,84.12,0.51,1.955
Computers,1,5,5,1,199,10.16,0.05,4.365
Computers,1,1e1,1,0,172,85.08,0.40,2.407
Computers,1,1e1,1,1,183,75.74,4.16,4.143
Computers,1,1e1,2,0,167,85.40,0.68,2.413
Computers,1,1e1,2,1,198,21.66,3.61,3.651
Computers,1,1e1,3,0,175,84.72,0.48,2.740
Computers,1,1e1,3,1,195,19.98,0.27,3.757
Computers,1,1e1,4,0,152,83.80,0.70,2.248
Computers,1,1e1,4,1,200,11.84,2.72,3.577
Computers,1,1e1,5,0,194,82.22,2.07,1.989
Computers,1,1e1,5,1,200,10.16,0.05,3.988
