Dataset,Cond_ratio,Ridge,k,Learn_A,Epoch,Acc,Std.,Time
Citeseer,0.25,1e-2,4,0,90,71.78,0.33,1.274
Citeseer,0.25,1e-2,4,1,176,61.06,5.36,1.355
Citeseer,0.25,1e-2,5,0,80,71.84,1.13,0.733
Citeseer,0.25,1e-2,5,1,194,47.80,6.18,1.455
Citeseer,0.25,1e-1,1,0,75,70.96,0.45,1.050
Citeseer,0.25,1e-1,1,1,128,69.88,0.47,1.006
Citeseer,0.25,1e-1,2,0,82,71.68,0.58,1.459
Citeseer,0.25,1e-1,2,1,198,65.28,3.24,1.447
Citeseer,0.25,1e-1,3,0,86,71.70,1.04,1.618
Citeseer,0.25,1e-1,3,1,196,66.88,1.66,1.465
Citeseer,0.25,1e-1,4,0,89,71.78,0.46,1.291
Citeseer,0.25,1e-1,4,1,199,60.54,9.04,1.416
Citeseer,0.25,1e-1,5,0,75,71.86,0.24,0.690
Citeseer,0.25,1e-1,5,1,193,47.58,8.03,1.377
Citeseer,0.25,5e-1,1,0,86,70.44,0.50,1.329
Citeseer,0.25,5e-1,1,1,128,69.36,0.46,0.958
Citeseer,0.25,5e-1,2,0,102,72.16,1.06,1.361
Citeseer,0.25,5e-1,2,1,186,69.02,1.62,1.361
Citeseer,0.25,5e-1,3,0,104,71.76,0.59,1.411
Citeseer,0.25,5e-1,3,1,197,66.34,1.99,1.332
Citeseer,0.25,5e-1,4,0,95,71.64,0.61,1.294
Citeseer,0.25,5e-1,4,1,197,44.32,10.71,1.385
Citeseer,0.25,5e-1,5,0,97,72.18,0.81,0.867
Citeseer,0.25,5e-1,5,1,197,31.90,1.50,1.406
Citeseer,0.25,1e0,1,0,104,70.26,0.68,1.144
Citeseer,0.25,1e0,1,1,145,69.58,1.10,1.182
Citeseer,0.25,1e0,2,0,109,71.96,0.90,1.485
Citeseer,0.25,1e0,2,1,194,70.28,1.45,1.627
Citeseer,0.25,1e0,3,0,109,71.92,0.69,1.446
Citeseer,0.25,1e0,3,1,198,59.26,7.06,1.569
Citeseer,0.25,1e0,4,0,113,71.90,0.92,1.399
Citeseer,0.25,1e0,4,1,192,32.42,1.73,1.579
Citeseer,0.25,1e0,5,0,103,71.74,0.50,0.816
Citeseer,0.25,1e0,5,1,193,31.64,1.40,1.296
Citeseer,0.25,5,1,0,135,70.54,0.78,1.756
Citeseer,0.25,5,1,1,177,69.78,1.99,1.389
Citeseer,0.25,5,2,0,141,72.44,0.82,1.679
Citeseer,0.25,5,2,1,199,57.56,3.31,1.435
Citeseer,0.25,5,3,0,141,72.34,0.93,1.773
Citeseer,0.25,5,3,1,200,33.40,2.69,1.500
Citeseer,0.25,5,4,0,146,72.38,1.07,2.001
Citeseer,0.25,5,4,1,195,31.64,1.39,1.457
Citeseer,0.25,5,5,0,146,72.60,0.96,1.109
Citeseer,0.25,5,5,1,194,31.56,1.07,1.321
Citeseer,0.25,1e1,1,0,159,70.70,0.25,1.690
Citeseer,0.25,1e1,1,1,197,68.46,2.05,1.604
Citeseer,0.25,1e1,2,0,172,72.66,1.99,1.614
Citeseer,0.25,1e1,2,1,200,41.04,5.46,1.656
Citeseer,0.25,1e1,3,0,167,71.82,1.11,2.680
Citeseer,0.25,1e1,3,1,163,31.08,2.01,1.171
Citeseer,0.25,1e1,4,0,171,72.40,0.57,2.350
Citeseer,0.25,1e1,4,1,163,31.40,2.80,1.394
Citeseer,0.25,1e1,5,0,166,73.10,1.53,1.132
Citeseer,0.25,1e1,5,1,191,31.64,1.23,1.256
Citeseer,0.5,1e-3,1,0,47,69.38,1.73,0.930
