Dataset,Model,Cond_ratio,Learn_A,k,Epoch,Mean_Acc,Std.,Best_Acc
Citeseer,SGC,1.0,1,3,398,0.6586,0.0015,0.661
Citeseer,SGC,1.0,0,4,87,0.6858,0.0027,0.691
Citeseer,SGC,1.0,1,4,398,0.6620,0.0019,0.664
Citeseer,SGC,1.0,0,5,262,0.6870,0.0020,0.691
Citeseer,SGC,1.0,1,5,392,0.6602,0.0016,0.664
Citeseer,GAT,0.25,0,1,32,0.6766,0.0031,0.682
Citeseer,GAT,0.25,1,1,35,0.6844,0.0025,0.69
Citeseer,GAT,0.25,0,2,34,0.6794,0.0029,0.687
Citeseer,GAT,0.25,1,2,175,0.6854,0.0030,0.692
Citeseer,GAT,0.25,0,3,108,0.6796,0.0054,0.688
Citeseer,GAT,0.25,1,3,286,0.6838,0.0040,0.69
Citeseer,GAT,0.25,0,4,246,0.6788,0.0053,0.686
Citeseer,GAT,0.25,1,4,325,0.6824,0.0029,0.688
Citeseer,GAT,0.25,0,5,114,0.6792,0.0024,0.686
Citeseer,GAT,0.25,1,5,201,0.6806,0.0033,0.686
Citeseer,GAT,0.5,0,1,275,0.6366,0.0050,0.652
Citeseer,GAT,0.5,1,1,342,0.6986,0.0068,0.706
Citeseer,GAT,0.5,0,2,367,0.6408,0.0026,0.655
Citeseer,GAT,0.5,1,2,113,0.7018,0.0053,0.71
Citeseer,GAT,0.5,0,3,367,0.6476,0.0030,0.66
Citeseer,GAT,0.5,1,3,349,0.7044,0.0055,0.71
Citeseer,GAT,0.5,0,4,368,0.6474,0.0022,0.666
Citeseer,GAT,0.5,1,4,369,0.7044,0.0042,0.711
Citeseer,GAT,0.5,0,5,339,0.6472,0.0029,0.669
Citeseer,GAT,0.5,1,5,400,0.7038,0.0075,0.712
Citeseer,GAT,1.0,0,1,10,0.6994,0.0054,0.709
Citeseer,GAT,1.0,1,1,32,0.6846,0.0055,0.695
Citeseer,GAT,1.0,0,2,10,0.7000,0.0072,0.71
Citeseer,GAT,1.0,1,2,32,0.6872,0.0051,0.699
Citeseer,GAT,1.0,0,3,10,0.6996,0.0067,0.711
Citeseer,GAT,1.0,1,3,30,0.6878,0.0050,0.699
Citeseer,GAT,1.0,0,4,6,0.6992,0.0050,0.708
Citeseer,GAT,1.0,1,4,30,0.6900,0.0038,0.7
Citeseer,GAT,1.0,0,5,6,0.6978,0.0047,0.708
Citeseer,GAT,1.0,1,5,30,0.6908,0.0031,0.7
Citeseer,SAGE,0.25,0,1,330,0.6076,0.0613,0.683
Citeseer,SAGE,0.25,1,1,379,0.6334,0.0559,0.688
Citeseer,SAGE,0.25,0,2,342,0.6076,0.0566,0.679
Citeseer,SAGE,0.25,1,2,375,0.6352,0.0538,0.686
Citeseer,SAGE,0.25,0,3,330,0.6082,0.0580,0.678
Citeseer,SAGE,0.25,1,3,382,0.6348,0.0526,0.686
Citeseer,SAGE,0.25,0,4,346,0.6092,0.0560,0.675
Citeseer,SAGE,0.25,1,4,381,0.6344,0.0521,0.685
Citeseer,SAGE,0.25,0,5,344,0.6086,0.0561,0.675
Citeseer,SAGE,0.25,1,5,375,0.6340,0.0517,0.684
